"Detection","RecSN","dtf","Hex","Tilt","Volt","Temp","Pres","Amp","Freq","Thresh","nbw","snr","Valid","nPRI","tdiff","winmax"
"   8377","15-6003",2017-04-06 17:13:15,"3565",37.7,3.6,15.2,0,685,398,100,538,5.2,1,5,54.9510910511017,2017-04-06 17:14:34
"   8378","15-6003",2017-04-06 17:13:20,"3565",37.7,3.6,15.2,0,603,-55,100,480,3.9,1,5,4.9978940486908,2017-04-06 17:14:39
"   7547","15-6003",2017-03-28 21:25:59,"356D",37.4,3.65,13.9,0,763,410,100,625,4.8,1,5,49.2257759571075,2017-03-28 21:27:18
"   7548","15-6003",2017-03-28 21:26:09,"356D",50.1,3.66,12.9,0,990,-58,100,558,8.1,1,5,9.84589004516602,2017-03-28 21:27:28
"   4238","15-6003",2017-03-24 01:38:06,"356E",42.3,3.71,13.6,0,585,-393,100,659,2.1,1,5,NA,2017-03-24 01:39:25
"   4239","15-6003",2017-03-24 01:38:31,"356E",31.5,3.71,14.2,0,570,272,100,537,3.6,1,5,25.169193983078,2017-03-24 01:39:50
"   4240","15-6003",2017-03-24 01:38:36,"356E",31.5,3.71,14.2,0,873,-271,100,766,4.2,1,5,5.03198385238647,2017-03-24 01:39:55
"   4246","15-6003",2017-03-24 01:39:37,"356E",40.4,3.7,14,0,639,-82,100,483,4.4,1,5,60.4335930347443,2017-03-24 01:40:56
"   3217","15-6003",2017-03-23 23:32:38,"3573",39,3.71,14,0,764,-506,100,596,5.3,1,5,NA,2017-03-23 23:33:57
"   4078","15-6003",2017-03-24 01:04:44,"3574",42,3.71,13.9,0,923,241,100,540,7.8,1,5,NA,2017-03-24 01:06:03
"   8749","15-6003",2017-04-12 21:24:50,"3594",39.9,3.56,14.3,0,667,-336,100,587,4.2,1,5,NA,2017-04-12 21:26:09
"    986","15-6003",2017-03-08 10:32:25,"3595",90,3.84,12.2,0,76,241,100,0,17.6,1,5,NA,2017-03-08 10:33:44
"   8036","15-6003",2017-04-03 12:13:12,"359B",43,3.62,14.6,0,814,421,100,574,6.1,1,5,NA,2017-04-03 12:14:31
"   8037","15-6003",2017-04-03 12:13:27,"359B",40,3.62,14.7,0,688,-456,100,588,4.5,1,5,15.0749089717865,2017-04-03 12:14:46
"   2922","15-6003",2017-03-16 02:51:09,"35A5",90,3.78,12.1,0,133,-1029,100,21,16,1,5,NA,2017-03-16 02:52:28
"    386","15-6003",2017-03-05 00:29:39,"35B7",89.8,3.87,10.1,0,89,-164,100,0,19,1,5,NA,2017-03-05 00:30:58
"   8038","15-6003",2017-04-03 13:25:56,"35D4",45.6,3.61,15,0,2250,655,100,567,15.1,1,5,NA,2017-04-03 13:27:15
"   8039","15-6003",2017-04-03 13:26:01,"35D4",45.6,3.61,15,0,1890,916,100,631,12.6,1,5,4.97135090827942,2017-04-03 13:27:20
"   8040","15-6003",2017-04-03 13:26:06,"35D4",45.6,3.61,15,0,1321,829,100,616,9.7,1,5,4.97207999229431,2017-04-03 13:27:25
"   3536","15-6003",2017-03-24 00:10:59,"362D",55,3.71,14.1,0,509,102,100,453,3,1,5,NA,2017-03-24 00:12:18
"   2188","15-6003",2017-03-13 19:27:21,"3649",89.8,3.79,20.6,0,89,-178,100,8,19,1,5,NA,2017-03-13 19:28:40
"   7181","15-6003",2017-03-26 09:30:20,"3653",41.2,3.68,13.3,0,824,-712,100,668,4.9,1,5,108.145858049393,2017-03-26 09:31:39
"   7182","15-6003",2017-03-26 09:30:44,"3653",43.4,3.68,14.1,0,700,711,100,676,3.4,1,5,24.571799993515,2017-03-26 09:32:03
"   7183","15-6003",2017-03-26 09:31:38,"3653",43.6,3.69,13.3,0,625,-580,100,564,4,1,5,54.0631289482117,2017-03-26 09:32:57
"   2598","15-6003",2017-03-14 21:19:56,"365D",89.2,3.79,19.8,0,130,-534,100,31,12.5,1,5,NA,2017-03-14 21:21:15
"   3302","15-6003",2017-03-23 23:43:00,"366A",42.9,3.71,14,0,586,-409,100,643,2.3,1,5,NA,2017-03-23 23:44:19
"   3303","15-6003",2017-03-23 23:43:20,"366A",42.5,3.7,13.8,0,1116,37,100,651,7.8,1,5,20.0411620140076,2017-03-23 23:44:39
"    205","15-6003",2017-03-03 05:34:47,"366D",89.8,3.88,6.8,0,83,-263,100,0,18.4,1,5,NA,2017-03-03 05:36:06
"   1050","15-6003",2017-03-09 00:56:40,"366D",89.9,3.83,12.1,0,89,-362,100,0,19,1,5,501713.665363073,2017-03-09 00:57:59
"   1300","15-6003",2017-03-09 22:11:03,"3675",90.1,3.83,16.3,0,92,-1444,100,14,16.4,1,5,NA,2017-03-09 22:12:22
"   5819","15-6003",2017-03-24 09:09:26,"3685",54.6,3.71,13.5,0,620,730,100,510,4.8,1,5,NA,2017-03-24 09:10:45
"   6900","15-6003",2017-03-25 06:07:56,"3694",36.6,3.69,13.2,0,568,108,100,609,2.5,1,5,NA,2017-03-25 06:09:15
"   7234","15-6003",2017-03-27 01:49:54,"369D",42.3,3.67,13.6,0,527,419,100,575,2.3,1,5,NA,2017-03-27 01:51:13
"   7960","15-6003",2017-04-03 01:02:14,"36A7",39.2,3.61,14.9,0,906,547,100,658,5.9,1,5,NA,2017-04-03 01:03:33
"   7961","15-6003",2017-04-03 01:02:19,"36A7",39.2,3.61,14.9,0,635,40,100,619,3.3,1,5,5.03352999687195,2017-04-03 01:03:38
"   6958","15-6003",2017-03-25 08:19:55,"36AB",38.3,3.7,12.9,0,1354,419,100,590,10.3,1,5,NA,2017-03-25 08:21:14
"   6959","15-6003",2017-03-25 08:20:05,"36AB",38.3,3.7,12.9,0,706,401,100,567,5,1,5,9.90826106071472,2017-03-25 08:21:24
"   4220","15-6003",2017-03-24 01:31:45,"36AC",37.9,3.71,14.1,0,618,415,100,497,3.8,1,5,NA,2017-03-24 01:33:04
"   4501","15-6003",2017-03-24 05:12:03,"36B1",41.8,3.72,13.9,0,1089,264,100,606,8.2,1,5,NA,2017-03-24 05:13:22
"   4502","15-6003",2017-03-24 05:12:12,"36B1",42.7,3.71,13.8,0,1238,-123,100,465,10.4,1,5,9.78884601593018,2017-03-24 05:13:31
"   4503","15-6003",2017-03-24 05:12:22,"36B1",42.7,3.71,13.8,0,1432,-376,100,618,10.4,1,5,9.79405403137207,2017-03-24 05:13:41
"   8442","15-6003",2017-04-09 03:43:32,"36B9",44.7,3.58,13.6,0,824,2477,100,520,7.1,1,5,NA,2017-04-09 03:44:51
"   2354","15-6003",2017-03-14 07:01:38,"36CD",90,3.8,9.3,0,104,-1971,100,8,20.3,1,5,NA,2017-03-14 07:02:57
"   3264","15-6003",2017-03-23 23:37:21,"36DB",39.7,3.7,14,0,679,886,100,598,4.2,1,5,NA,2017-03-23 23:38:40
"   3267","15-6003",2017-03-23 23:37:51,"36DB",44.3,3.71,14.1,0,715,491,100,605,4.5,1,5,29.5496549606323,2017-03-23 23:39:10
"   1633","15-6003",2017-03-11 03:10:46,"36DD",89.7,3.83,10.2,0,99,-2221,100,16,15.8,1,5,NA,2017-03-11 03:12:05
"   1596","15-6003",2017-03-11 00:45:30,"372B",89.8,3.81,12.1,0,82,-1953,100,12,16.7,1,5,NA,2017-03-11 00:46:49
"   8008","15-6003",2017-04-03 05:09:41,"3751",44.2,3.61,14.8,0,669,-418,100,581,4.3,1,5,NA,2017-04-03 05:11:00
"   8009","15-6003",2017-04-03 05:10:11,"3751",37.6,3.62,14.7,0,640,-155,100,611,3.5,1,5,30.3503661155701,2017-04-03 05:11:30
"   8010","15-6003",2017-04-03 05:10:36,"3751",40.9,3.61,14.7,0,1181,-325,100,680,7.9,1,5,25.306079864502,2017-04-03 05:11:55
"   8011","15-6003",2017-04-03 05:10:46,"3751",38.7,3.61,14.6,0,742,-685,100,641,4.4,1,5,10.1242179870605,2017-04-03 05:12:05
"   7923","15-6003",2017-04-02 20:49:18,"3752",43.2,3.61,14.7,0,645,177,100,703,2.4,1,5,NA,2017-04-02 20:50:37
"   8530","15-6003",2017-04-10 04:41:47,"3757",58.4,3.56,13.3,0,737,628,100,626,4.5,1,5,NA,2017-04-10 04:43:06
"   5888","15-6003",2017-03-24 09:16:26,"3775",40.8,3.71,14.2,0,796,1649,100,510,7,1,5,NA,2017-03-24 09:17:45
"   5895","15-6003",2017-03-24 09:17:11,"3775",42.2,3.7,13.4,0,2213,2188,100,555,15.1,1,5,45.0406711101532,2017-03-24 09:18:30
"   5897","15-6003",2017-03-24 09:17:26,"3775",40.4,3.7,13.5,0,1974,1752,100,521,14.7,1,5,15.0203318595886,2017-03-24 09:18:45
"  10709","15-6003",2017-04-18 21:26:48,"37A5",42.9,3.52,13.6,0,955,488,100,618,6.9,1,5,NA,2017-04-18 21:28:07
"   8158","15-6003",2017-04-04 17:43:02,"38AD",36.7,3.61,15.7,0,1472,-282,100,556,11.6,1,5,NA,2017-04-04 17:44:21
"   8159","15-6003",2017-04-04 17:43:12,"38AD",43.6,3.61,15.3,0,1010,26,100,582,7.9,1,5,10.1111669540405,2017-04-04 17:44:31
"   8160","15-6003",2017-04-04 17:43:37,"38AD",47.7,3.6,15.2,0,849,-549,100,602,6.1,1,5,25.283567905426,2017-04-04 17:44:56
"   2680","15-6003",2017-03-15 04:47:31,"394D",89.3,3.79,13,0,122,-404,100,32,11.6,1,5,NA,2017-03-15 04:48:50
"   8327","15-6003",2017-04-06 06:24:51,"394D",37.8,3.59,15,0,947,509,100,579,7.4,1,5,1906640.57583404,2017-04-06 06:26:10
"   1965","15-6003",2017-03-12 20:43:39,"3956",89.8,3.81,18.4,0,90,-570,100,8,19.1,1,5,NA,2017-03-12 20:44:58
"   3333","15-6003",2017-03-23 23:48:33,"3965",55.2,3.71,13.7,0,1194,200,100,755,7.1,1,5,NA,2017-03-23 23:49:52
"   3334","15-6003",2017-03-23 23:48:38,"3965",39.4,3.71,14.4,0,773,377,100,830,2.5,1,5,4.97744607925415,2017-03-23 23:49:57
"   3410","15-6003",2017-03-23 23:54:20,"396A",38.3,3.71,13.8,0,500,738,100,500,3.1,1,5,NA,2017-03-23 23:55:39
"   7956","15-6003",2017-04-02 22:45:00,"39B5",39.9,3.62,14.7,0,1282,2755,100,609,9.6,1,5,NA,2017-04-02 22:46:19
"   6907","15-6003",2017-03-25 06:09:14,"39D5",38.4,3.71,13.6,0,536,-235,100,566,2.6,1,5,NA,2017-03-25 06:10:33
"   6908","15-6003",2017-03-25 06:09:19,"39D5",38.4,3.71,13.6,0,743,560,100,542,5.8,1,5,5.01301002502441,2017-03-25 06:10:38
"   6911","15-6003",2017-03-25 06:09:34,"39D5",43.3,3.69,12.9,0,994,1331,100,591,7.6,1,5,15.0483260154724,2017-03-25 06:10:53
"   6922","15-6003",2017-03-25 06:11:45,"39D5",40.1,3.71,12.8,0,554,295,100,495,2.9,1,5,130.412208080292,2017-03-25 06:13:04
"   4335","15-6003",2017-03-24 01:50:43,"3A15",44.5,3.72,14.4,0,669,-552,100,560,4.6,1,5,NA,2017-03-24 01:52:02
"   1252","15-6003",2017-03-09 18:25:12,"3A25",90.1,3.83,22.2,0,121,-1975,100,9,21.7,1,5,NA,2017-03-09 18:26:31
"   3113","15-6003",2017-03-23 23:08:48,"3A25",41.4,3.72,14,0,770,191,100,542,6.1,1,5,15.1090130805969,2017-03-23 23:10:07
"   7666","15-6003",2017-03-31 03:12:21,"3A2A",37.5,3.66,14.1,0,650,993,100,486,4.5,1,5,NA,2017-03-31 03:13:40
"   7223","15-6003",2017-03-26 20:23:27,"3A5D",41.3,3.68,13.7,0,618,9,100,688,2.2,1,5,59.6674468517303,2017-03-26 20:24:46
"   2984","15-6003",2017-03-16 08:03:04,"3A93",90.1,3.78,13.1,0,120,-1711,100,31,11.8,1,5,NA,2017-03-16 08:04:23
"   3251","15-6003",2017-03-23 23:35:53,"3A93",41.1,3.71,13.2,0,1208,1969,100,601,9.2,1,5,660769.512201071,2017-03-23 23:37:12
"   3258","15-6003",2017-03-23 23:36:28,"3A93",38.4,3.7,13.6,0,453,2133,100,566,1.2,1,5,34.3697719573975,2017-03-23 23:37:47
"   7531","15-6003",2017-03-28 21:04:28,"3A9A",40.4,3.66,14.3,0,1093,1193,100,625,8,1,5,NA,2017-03-28 21:05:47
"   7532","15-6003",2017-03-28 21:04:33,"3A9A",40.4,3.66,14.3,0,755,969,100,711,3.6,1,5,4.98435401916504,2017-03-28 21:05:52
"   7533","15-6003",2017-03-28 21:04:53,"3A9A",41.1,3.66,14.3,0,621,-31,100,706,2,1,5,19.943696975708,2017-03-28 21:06:12
"   5027","15-6003",2017-03-24 07:20:44,"3A9D",42.6,3.71,14,0,869,1137,100,460,7.5,1,5,NA,2017-03-24 07:22:03
"   3166","15-6003",2017-03-23 23:22:30,"3AA1",38.4,3.7,13.9,0,824,1089,100,624,5.5,1,5,NA,2017-03-23 23:23:49
