"Filename","RecSN","DT","FracSec","Hex","CRC","validFlag","TagAmp","NBW","nPRI","dtf","tdiff","winmax"
"2015-6034170371415","2015-6034","02/14/2017 09:45:51",0.051967,"2F69","FE",0,90,14,5,2017-02-14 09:45:51,10833.711042881,2017-02-14 09:47:10
"2015-6034170371415","2015-6034","02/06/2017 21:13:22",0.143441,"2F6A","70",0,75,0,5,2017-02-06 21:13:22,NA,2017-02-06 21:14:41
"2015-6034170371415","2015-6034","02/11/2017 12:14:29",0.598431,"2F6A","AD",0,96,0,5,2017-02-11 12:14:29,399667.454990149,2017-02-11 12:15:48
"2015-6034170371415","2015-6034","02/11/2017 20:09:50",0.154925,"2F6A","0E",0,84,0,5,2017-02-11 20:09:50,28520.5564939976,2017-02-11 20:11:09
"2015-6034170371415","2015-6034","02/14/2017 02:14:11",0.206985,"2F6A","44",0,131,32,5,2017-02-14 02:14:11,194661.052059889,2017-02-14 02:15:30
"2015-6034170371415","2015-6034","02/11/2017 23:37:18",0.403348,"2F6B","56",0,76,0,5,2017-02-11 23:37:18,NA,2017-02-11 23:38:37
"2015-6034170371415","2015-6034","02/13/2017 02:09:26",0.014468,"2F6B","A2",0,79,0,5,2017-02-13 02:09:26,95527.6111199856,2017-02-13 02:10:45
"2015-6034170371415","2015-6034","02/12/2017 05:17:00",0.394391,"2F6D","E3",0,80,0,5,2017-02-12 05:17:00,NA,2017-02-12 05:18:19
"2015-6034170371415","2015-6034","02/12/2017 08:33:02",0.999485,"2F75","70",0,88,0,5,2017-02-12 08:33:02,NA,2017-02-12 08:34:21
"2015-6034170371415","2015-6034","02/12/2017 09:55:36",0.366556,"2F75","08",0,77,0,5,2017-02-12 09:55:36,4953.36707091331,2017-02-12 09:56:55
"2015-6034170371415","2015-6034","02/07/2017 17:19:52",0.183698,"2F95","F6",0,69,1,5,2017-02-07 17:19:52,NA,2017-02-07 17:21:11
"2015-6034170371415","2015-6034","02/09/2017 17:58:53",0.243197,"2F95","AA",0,99,8,5,2017-02-09 17:58:53,175141.059499025,2017-02-09 18:00:12
"2015-6034170371415","2015-6034","02/13/2017 20:08:59",0.133814,"2F95","CC",0,125,49,5,2017-02-13 20:08:59,353405.890617132,2017-02-13 20:10:18
"2015-6034170371415","2015-6034","02/11/2017 12:00:57",0.237849,"2FA5","03",0,89,0,5,2017-02-11 12:00:57,NA,2017-02-11 12:02:16
"2015-6034170371415","2015-6034","02/13/2017 20:24:31",0.841811,"2FA5","DC",0,116,56,5,2017-02-13 20:24:31,203014.603961945,2017-02-13 20:25:50
"2015-6034170371415","2015-6034","02/09/2017 13:17:46",0.74238,"2FA9","BC",0,82,8,5,2017-02-09 13:17:46,NA,2017-02-09 13:19:05
"2015-6034170371415","2015-6034","02/13/2017 03:50:54",0.322938,"2FA9","8D",0,91,0,5,2017-02-13 03:50:54,311587.580558062,2017-02-13 03:52:13
"2015-6034170371415","2015-6034","02/09/2017 21:49:54",0.999359,"2FAA","11",0,74,0,5,2017-02-09 21:49:54,NA,2017-02-09 21:51:13
"2015-6034170371415","2015-6034","02/09/2017 17:44:11",0.039212,"2FAB","0A",0,112,1,5,2017-02-09 17:44:11,NA,2017-02-09 17:45:30
"2015-6034170371415","2015-6034","02/12/2017 02:36:45",0.939469,"2FAB","2C",0,84,0,5,2017-02-12 02:36:45,204754.900257111,2017-02-12 02:38:04
"2015-6034170371415","2015-6034","02/13/2017 00:08:07",0.991845,"2FAB","ED",0,96,0,5,2017-02-13 00:08:07,77482.0523757935,2017-02-13 00:09:26
"2015-6034170371415","2015-6034","02/14/2017 03:45:57",0.95514,"2FAB","03",0,79,8,5,2017-02-14 03:45:57,99469.9632952213,2017-02-14 03:47:16
"2015-6034170371415","2015-6034","02/07/2017 09:43:02",0.452559,"2FAD","8F",0,95,0,5,2017-02-07 09:43:02,NA,2017-02-07 09:44:21
"2015-6034170371415","2015-6034","02/11/2017 06:09:59",0.856325,"2FB5","BC",0,68,0,5,2017-02-11 06:09:59,NA,2017-02-11 06:11:18
"2015-6034170371415","2015-6034","02/11/2017 13:04:51",0.074164,"2FD5","72",0,80,8,5,2017-02-11 13:04:51,NA,2017-02-11 13:06:10
"2015-6034170371415","2015-6034","02/11/2017 21:22:19",0.320402,"2FD5","6F",0,90,0,5,2017-02-11 21:22:19,29848.2462379932,2017-02-11 21:23:38
"2015-6034170371415","2015-6034","02/14/2017 09:55:25",0.686775,"2FD5","C8",0,82,23,5,2017-02-14 09:55:25,217986.366373062,2017-02-14 09:56:44
"2015-6034170371415","2015-6034","02/11/2017 10:31:57",0.473279,"3095","7C",0,78,0,5,2017-02-11 10:31:57,NA,2017-02-11 10:33:16
"2015-6034170371415","2015-6034","02/13/2017 14:15:19",0.510687,"3095","93",0,101,8,5,2017-02-13 14:15:19,186202.037408113,2017-02-13 14:16:38
"2015-6034170371415","2015-6034","02/14/2017 02:18:55",0.199403,"3095","49",0,107,44,5,2017-02-14 02:18:55,43415.6887159348,2017-02-14 02:20:14
"2015-6034170371415","2015-6034","02/14/2017 02:20:49",0.876975,"30A5","1F",0,114,48,5,2017-02-14 02:20:49,NA,2017-02-14 02:22:08
"2015-6034170371415","2015-6034","02/06/2017 15:39:42",0.757194,"30A9","62",0,94,7,5,2017-02-06 15:39:42,NA,2017-02-06 15:41:01
"2015-6034170371415","2015-6034","02/07/2017 18:49:44",0.072356,"30A9","22",0,82,2,5,2017-02-07 18:49:44,97801.3151619434,2017-02-07 18:51:03
"2015-6034170371415","2015-6034","02/13/2017 20:11:29",0.701265,"30A9","60",0,123,49,5,2017-02-13 20:11:29,523305.628909111,2017-02-13 20:12:48
"2015-6034170371415","2015-6034","02/12/2017 20:55:17",0.468999,"30AA","46",0,79,0,5,2017-02-12 20:55:17,NA,2017-02-12 20:56:36
"2015-6034170371415","2015-6034","02/13/2017 20:22:22",0.282491,"30AB","39",0,137,64,5,2017-02-13 20:22:22,NA,2017-02-13 20:23:41
"2015-6034170371415","2015-6034","02/12/2017 05:17:53",0.134117,"30AD","4D",0,71,0,5,2017-02-12 05:17:53,NA,2017-02-12 05:19:12
"2015-6034170371415","2015-6034","02/13/2017 11:07:03",0.793918,"30AD","1B",0,86,63,5,2017-02-13 11:07:03,107350.659801006,2017-02-13 11:08:22
"2015-6034170371415","2015-6034","02/13/2017 14:38:54",0.795142,"30AD","82",0,98,39,5,2017-02-13 14:38:54,12711.001224041,2017-02-13 14:40:13
"2015-6034170371415","2015-6034","02/13/2017 20:08:57",0.552655,"30B5","9D",0,113,48,5,2017-02-13 20:08:57,NA,2017-02-13 20:10:16
"2015-6034170371415","2015-6034","02/13/2017 20:56:18",0.525828,"30B5","CF",0,106,5,5,2017-02-13 20:56:18,2840.97317290306,2017-02-13 20:57:37
"2015-6034170371415","2015-6034","02/07/2017 04:06:37",0.804257,"3125","F9",0,70,0,5,2017-02-07 04:06:37,NA,2017-02-07 04:07:56
"2015-6034170371415","2015-6034","02/13/2017 20:16:21",0.87919,"3129","99",0,124,53,5,2017-02-13 20:16:21,NA,2017-02-13 20:17:40
"2015-6034170371415","2015-6034","03/31/2017 08:10:31",0.425962,"3129","F6",1,639,571,5,2017-03-31 08:10:31,3930849.546772,2017-03-31 08:11:50
"2015-6034170371415","2015-6034","02/12/2017 00:14:40",0.107575,"312A","4B",0,90,0,5,2017-02-12 00:14:40,NA,2017-02-12 00:15:59
"2015-6034170371415","2015-6034","02/13/2017 20:25:30",0.325875,"312A","5D",0,129,53,5,2017-02-13 20:25:30,159050.218300104,2017-02-13 20:26:49
"2015-6034170371415","2015-6034","02/06/2017 17:31:09",0.902519,"312B","E4",0,102,0,5,2017-02-06 17:31:09,NA,2017-02-06 17:32:28
